"Reference","Value","Datasheet","Footprint","Qty","DNP"
"12V","Battery","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","2",""
"BZ1","Passive Buzzer","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","1",""
"D1,D2,D3","1N914","http://www.vishay.com/docs/85622/1n914.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","3",""
"D4","LED","","","1",""
"J1","Analog","","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","1",""
"J2","Digital","","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","1",""
"K1,K2,K3","Fujitsu_FTR-LYAA005x","https://www.fujitsu.com/sg/imagesgig5/ftr-ly.pdf","Relay_THT:Relay_SPST-NO_Fujitsu_FTR-LYAA005x_FormA_Vertical","3",""
"L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15","L","","","15",""
"R1","R","","","1",""
"SW1","SW_Push","","Button_Switch_SMD:SW_SP3T_PCM13","1",""
